Name,Description,Founded,Business Model,Employees,Funding Stage,Total Raised,Tags
Axilion Smart Mobility,Axilion Smart Mobility PUBLIC AI-based City-wide Traffic Management SaaS Offerings,2009,"B2B, B2G",11-50,Public,$24M,", , , , , , , , , , , planning, climate-tech"
BeeHero,BeeHero Precision Pollination as a Service,2017,B2B,51-200,B,$66M,", , , , , , , , , , , , , big-data, precision-agriculture"
BiomX,BiomX PUBLIC Microbiome Therapies for Chronic Diseases,2015,B2B,51-200,Public,$131.5M,", , , , , , , , , , , , , biomarkers, autoimmune-diseases"
BioView,BioView PUBLIC Automated Cell Diagnostic Platform,1998,B2B,11-50,Public,Undisclosed,", , , , , , , , , , , , , , , , hardware, medical-devices, saas"
brain.space,brain.space Brain Data Cloud,2018,"B2B, B2G",11-50,Seed,$8.5M,", , , , , , , , , , , , , , , , , , , , , , , , game-developers, advertisers, defense"
BrainVivo,BrainVivo Unlocking Human Brain Intelligence,2019,"B2B, B2B2C, B2C",11-50,A,Undisclosed,", , , , big-data-analytics, emotions-analytics"
C2i Genomics,C2i Genomics ACQUIRED Whole-genome Cancer Treatment Intelligence Platform,2019,B2B,11-50,Acquired,$113.2M,", , , , , , , , , , , , , , , , , , , cloud-based, machine-learning"
Callvu,Callvu No-code Automation Platform for Customer Experience,2012,B2B,11-50,B,$12M,", , , , , , , , , , , , , , , , , , natural-language-processing, artificial-intelligence"
Canopy Immuno-Therapeutics,Canopy Immuno-Therapeutics Immunotherapeutic Approach for Autoimmunity and Life-threatening Allergies,2020,B2B,1-10,Seed,Undisclosed,", , , , , , , , , drug-development, immunotherapy"
Carebox,"Carebox Connecting Patients, Doctors, and Clinical Trials",2014,"B2B, B2B2C, B2C",11-50,A,$2M,", , , , , , , , , , , , , artificial-intelligence, personalization"
Cellyrix Therapeutics,Cellyrix Therapeutics Modulating Cell States,2024,B2B,1-10,Pre-Funding,Undisclosed,", , , , , biotechnology, artificial-intelligence"
CEVA,CEVA PUBLIC Signal-processing Platform and AI Processors,2002,"B2B, B2G",201-500,Public,$48.1M,", , , , , , , , , , , , , , , , , , , , , automotive, manufacturing-facilities"
Cipia Vision,Cipia Vision PUBLIC AI-based Monitoring Solutions for Drivers and Passengers,2005,B2B,51-200,Public,$80.39M,", , , , , , , , , , , , , , , , , deep-neural-networks, eye-tracking"
Circles,Circles Online Support Group Platform,2020,"B2B2C, B2C",51-200,A,$24.5M,", , , , , , , , , well-being, digital-healthcare, community"
Citrusx,Citrusx AI Explainability Collaboration Platform,2021,B2B,11-50,Seed,$4.5M,", , enterprise-solutions, machine-learning"
Cognyte,Cognyte PUBLIC Investigative Analytics Software,2020,"B2B, B2G",500+,Public,Undisclosed,", , , , , , , , , threat-intelligence, threat-detection"
CropX,CropX Digital Farm Management Solutions with Soil and Crop Intelligence,2015,B2B,51-200,C,$71.18M,", , , , , , , , , , , , , , , , actionable-insights, machine-learning"
CyFox,CyFox Enterprise-grade XDR Cybersecurity Solution,2021,"B2B, B2B2C",11-50,Pre-Funding,Undisclosed,", , , , , , cyber-security, security-operations, security"
Cyngular Security,Cyngular Security Automated Cloud Incident Readiness and Response Platform,2021,B2B,11-50,Seed,Undisclosed,", , , cyber-threat-analysis, incident-response"
DiA Imaging Analysis,DiA Imaging Analysis ACQUIRED AI-driven Ultrasound Analysis,2009,"B2B, B2B2C",11-50,Acquired,$22.46M,", , , , , , , , , , , , , , , , clinics, decision-support, ultrasound"
DrizzleX,DrizzleX Cloud-based Water Conservation System for Multifamily Apartment Buildings,2019,B2B,11-50,A,$5.82M,", , , , , , , , , , , , , , , water-saving, water-loss-prevention"
Elbit Systems,"Elbit Systems PUBLIC Defense, Homeland Security, and Commercial Programs",1965,"B2B, B2G",500+,Public,$185M,", , , , , , , , , , , , , , , , , , , , , , , , space-tech, nanotechnology, optronics"
EntityMed,EntityMed EntityMed uses generative AI simulations to digitize and personalize the patient journey.,2021,"B2B, B2B2C",11-50,Seed,$2.3M,", , , , , , , , , digital-healthcare, patient-engagement"
eToro,eToro Social Trading Network,2006,B2C,500+,E,$422.7M,", , , , , , , , , , , , , , , trading-and-investing, cryptocurrency"
Feezback Technologies,Feezback Technologies Personal Finance Solution,2015,B2B,11-50,A,$3.85M,", , , , , , , , personalization, mobile-applications"
Firedome,Firedome Securing IoT with Endpoint Protection,2018,B2B,11-50,Seed,$14.5M,", , , , , , , , machine-learning, artificial-intelligence"
Foresight,Foresight PUBLIC Detection Technology for Driver Assistance Systems,2015,B2B,51-200,Public,$43.03M,", , , , , , , , , , , , autonomous-vehicles, smart-mobility, optronics"
Freightos,Freightos PUBLIC Online Freight Shipping Marketplace and Platform,2011,B2B,51-200,Public,$198.09M,", , , , , , , , , , , , , , , smb, marine, smart-mobility"
High Lander,High Lander Drone Fleet Management and Autonomous Airspace Control,2018,B2B,51-200,A,$17M,", , , , , , , , , , , , , , , mobile-applications, fleet-management"
Hippo Insurance,Hippo Insurance PUBLIC AI-based Property Insurance,2015,"B2B, B2C",500+,Public,$1.26B,", , , big-data, unicorn-2020, fintech"
HT BioImaging,HT BioImaging Imaging Method for Early Cancer Detection,2015,B2B,11-50,Seed,$5.5M,", , , , , , , , , , , , , , , , , veterinary, non-invasive"
Imagindairy,Imagindairy Animal-free Dairy Products,2020,B2B,11-50,Seed,$33.46M,", , , , alternative-protein, artificial-intelligence"
Insighting,Insighting AI-based Business Insights for Sales and Distribution Companies,2021,B2B,11-50,Seed,Undisclosed,", , , , business-intelligence, web-platform"
IntellAct,IntellAct Intelligence Solutions for Ground-handling Services,2017,B2B,11-50,A,$6.4M,", , , , , , , airports, smart-mobility"
IR-MED,IR-MED PUBLIC Noninvasive Infrared-based Diagnostics,2012,B2B,11-50,Public,$8.23M,", , , , , , , , , , , , , , , , , , optics, remote-monitoring, ulcers"
IRONSCALES,IRONSCALES AI-driven Email Security Platform,2013,B2B,51-200,C,$95M,", , , , , , , , , , , , , , incident-response, threat-detection, soc"
ITC Intelligent Traffic Control,ITC Intelligent Traffic Control Traffic Prediction Software,2019,"B2B, B2G",11-50,Seed,$5M,", , , , , , , , , , , , , , saas, 5g-networks"
Juganu,"Juganu Indoor, Outdoor, and Industrial Smart LED Lighting",2010,"B2B, B2G",51-200,C,$35M,", , , , , , , , , , , , , , , , , , , edge-computing, artificial-intelligence, retail"
Jungo Connectivity,Jungo Connectivity PUBLIC AI-Powered In-Cabin Sensing and Driver Safety Solutions for Commercial Fleets,2013,B2B,11-50,Public,$11.5M,", , , , , , , , , , , , , driver-safety, connected-vehicles"
Kai.ai,Kai.ai AI-Enhanced Software Platform for Mental Health Support,2020,"B2B, B2B2C",11-50,Pre-Seed,$5.5M,", , , , , , , , , , , artificial-intelligence, personalization"
KMS Lighthouse,KMS Lighthouse Knowledge Management Platform,1996,"B2B, B2G",51-200,Mature,Undisclosed,", , , , , , , , , , , , , , , , , , , , , , automotive, customer-support, training"
Kovrr,Kovrr Cyber Risk Quantification Platform,2016,B2B,11-50,Seed,$5.5M,", , , , , , , , artificial-intelligence, risk-assesments, enterprises"
Lightricks,Lightricks Mobile Apps for Visual Editing,2013,"B2B, B2C",500+,D,$335M,", , , , , , , , , artificial-intelligence, art, consumers"
Longevity AI,Longevity AI AI-based SaaS Platform for Proactive Care,2021,"B2B2C, B2C",11-50,Pre-Funding,Undisclosed,", , , , , , , , , , , , sleep-disorders, artificial-intelligence"
Lynx.MD,Lynx.MD AI-based Data Collaboration Platform for the Healthcare Community,2019,B2B,11-50,Seed,$12M,", , , , , , , , , , , , , , clinical-workflow, artificial-intelligence"
Mana.bio,Mana.bio AI-based Programmable Drug Delivery,2021,B2B,11-50,Seed,$19.5M,", , , , , , cell-therapy, therapeutics"
Mappo,Mappo Literary Geo-content Platform,2014,"B2B, B2B2C, B2C, B2G",11-50,Seed,$1.33M,", , , , , , , , , , , , , , , , automotive, infotainment"
MARINE EDGE,MARINE EDGE Sustainability for Marine Transportation,2021,B2B,1-10,Seed,Undisclosed,", , , , , , machine-learning, energy-efficiency"
MedAware,MedAware AI-based Medication Safety Monitoring Platform,2012,B2B,11-50,C,$20.87M,", , , , , , , , , , , , , , , , , , , , crowdsourcing, big-data-analytics"
Medial EarlySign,Medial EarlySign Early Detection of Life-threatening Conditions,2009,B2B,11-50,Mature,$50M,", , , , , , , , , , , , , , , , , , , decision-support, emr, diabetes"
Mobileye,Mobileye ACQUIRED Autonomous Driving and Driver-assist Technologies,1999,"B2B, B2C",500+,Public,$3.28B,", , , , , , , , , , , connected-vehicles, autonomous-vehicles"
Nanox Vision,Nanox Vision PUBLIC Medical Imaging Technology and Solutions,2018,"B2B, B2G",51-200,Public,$330M,", , , , , , , , , , , , , non-invasive, early-detection"
NetOp CLD,NetOp CLD Autonomous Campus Enterprise Network Operations,2019,B2B,11-50,Seed,$4.5M,", , , , , saas, enterprise-solutions, enterprises"
NeuroBlade,NeuroBlade High-performance Chip Solution for Data Analytics Workloads,2016,B2B,51-200,B,$110.5M,", , , , , , , chips-design, data-centers"
NICE,NICE PUBLIC Customer Relations and Risk Management Solutions,1986,"B2B, B2G",500+,Public,Undisclosed,", , , , , , , anti-fraud, robotic-process-automation"
NovaSight,NovaSight Eye-Tracking Based Solutions for Pediatric Vision Care,2016,"B2B, B2B2C, B2C",11-50,B,$30.97M,", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , consumers, medical-technologies, training"
NSO Group,NSO Group ACQUIRED Cyber Intelligence for Global Security,2009,B2G,201-500,Acquired,$1.6M,", , , , , , , , , cyber-security, artificial-intelligence"
OncoHost,OncoHost Precision Diagnostics and Predictive Biomarker Development,2017,"B2B, B2B2C, B2C",51-200,C,$50.6M,", , , , , , , , , , , , , , bioconvergence, immunotherapy"
Outbrain,Outbrain PUBLIC Native Advertising Platform,2006,B2B,500+,Public,$557.5M,", , , , , , , , , , , advertisers, artificial-intelligence"
Pagaya,Pagaya PUBLIC Data-driven Investment Manager,2016,B2B,500+,Public,$433.55M,", , , , , , , , , , , , , trading-and-investing, behavior-analytics"
Panacea-ml,Panacea-ml Explainable-AI Platform to Streamline Clinical Trial Design,2022,B2B,1-10,Pre-Seed,Undisclosed,", , , , , , , , , , , , , , , , , , , metabolic-disease, clinical-data"
Percepto,Percepto Autonomous Inspection and Monitoring Solution for Monitoring Critical Infrastructure,2014,"B2B, B2G",51-200,C,$122.5M,", , , , , , , , , , , , , , , , , , , , , , , , energytech, climate-tech"
Perion Network,Perion Network PUBLIC Ad Tech Solutions for Brands and Publishers,1999,"B2B, B2C",500+,Public,$57.4M,", , , , , , , , , , , , , , , branding, content-marketing"
Pinecone,Pinecone Database for Vector-based Applications,2019,B2B,51-200,B,$138M,", , , , , , anomaly-detection, personalization"
PlanetWatchers,PlanetWatchers Remote Sensing Analysis for Crop Insurance Applications,2016,"B2B, B2G",11-50,A,$16.25M,", , , , , , , , , , , , , , gps, agtech, optronics, space-tech"
Plataine,Plataine AI-based Optimization Solutions for Advanced Manufacturing,2008,"B2B, B2G",51-200,Seed,Undisclosed,", , , , , , , , , , , , transportation, defense, scheduling"
ProPhet,ProPhet AI-driven Drug Discovery,2024,B2B,1-10,Pre-Seed,$0,", , , proteins, artificial-intelligence"
Qualifire,Qualifire Realtime AI Safeguard,2023,B2B,1-10,Pre-Seed,$2M,", , , risk-management, ai-process-optimization, security"
Rail Vision,Rail Vision PUBLIC Cognitive Fusion Sensor Technology and Safety Systems for the Railway Industry,2016,"B2B, B2G",51-200,Public,$65.6M,", , , , , , , , , , , , , , , , public-transportation, smart-mobility, trains"
Revealense,Revealense Analysing Human Behaviour,2021,B2B,1-10,Seed,$4.14M,", , , , mental-health, decision-support"
Revuze,Revuze Consumer Insights from Online Reviews Powered by Generative AI,2011,B2B,51-200,B,$24.55M,", , , , , , , , , , , , , , , , , ecommerce, direct-to-consumer"
Run:AI,Run:AI ACQUIRED Platform for AI Virtualization and Orchestration,2018,B2B,51-200,Acquired,$118M,", , , , , , , , , , , virtualization, orchestration"
RxWare,RxWare Patient Journey Gateway,2013,"B2B, B2C",11-50,A,$6.55M,", , , , , , , , , , , , , , , , , , , , , , omni-channel, mobile-platform, neurology"
Sapiens International Corporation,Sapiens International Corporation PUBLIC Business Software for Insurance and Financial Services,1982,B2B,500+,Public,Undisclosed,", , , , , , , , , , decision-support, artificial-intelligence"
SaverOne,SaverOne PUBLIC Driver Distraction Prevention Technology for Enhanced Road Safety,2014,"B2B, B2B2C",11-50,Public,$28.39M,", , , , , , , , , , , , , , , , connected-vehicles, smart-mobility"
SeeTrue,SeeTrue AI-based Automatic Threat Detection for Security Screening Systems,2018,"B2B, B2G",51-200,A,$15.82M,", , , , , , , , , , , , , computer-vision, perimeter-security"
SentinelOne,SentinelOne PUBLIC Autonomous AI Endpoint Security Platform,2013,B2B,500+,Public,$1.9B,", , , , , , , , , , , , , , cloud-security, security-operations, iot"
Similarweb,Similarweb PUBLIC Web Analytics and Competitive Intelligence,2007,B2B,500+,Public,$392.2M,", , , , , , , , , , , , , , , investors, artificial-intelligence, retail"
SQream Technologies,SQream Technologies Data Analytics Acceleration,2010,B2B,51-200,C,$120.1M,", , , , , , , , , , , , , , , , artificial-intelligence, predictive-maintenance"
Stargo,"Stargo Generative AI Solutions for Freight, Logistics, and Supply Chain Visibility",2016,B2B,51-200,B,$39M,", , , , , , , , , , , , , , , , , saas, big-data-analytics"
StoreDot,StoreDot Extreme Fast-charging Electric Vehicle Batteries,2012,B2B,51-200,D,$200M,", , , , , , , , , , , , , , , , , smart-mobility, machine-learning"
TechSee Augmented Vision,TechSee Augmented Vision Intelligent Visual Customer Assistance Solution,2014,"B2B, B2B2C",51-200,C,$54M,", , , , , , , , , , , , , , , , , , , , , , , , , mobile-applications, 5g-networks, ventilation"
Track160,Track160 AI Sports Analytics and Performance Analysis,2017,"B2B, B2B2C",11-50,A,$9.25M,", , , , , , , , , , , , , big-data-analytics, sports-tech, productivity"
Trailze,Trailze Navigation SDK for Micromobility,2015,"B2B, B2C",1-10,Seed,$800K,", , , , , , , , , , sdk, saas, last-mile, delivery"
Tuned,Tuned AI-based Smart-hearing Platform,2020,B2B2C,1-10,Pre-Seed,$4.5M,", , , , medical-technologies, diagnostics, healthcare"
Twine Security,Twine Security Automated Identity and Access Management Solution,2024,B2B,11-50,Seed,$12M,", , iam, identity-verification"
Upsolver,Upsolver SQL Data Pipelines for Cloud Data Lakes,2014,B2B,11-50,B,$42.5M,", , , , , business-intelligence, it-management, data-lakes"
VH2O,VH2O Personalized Vitamin & Supplement Consumption,2021,"B2B2C, B2C",1-10,Pre-Seed,$0,", , , , , nutrition, supplements"
vHive,vHive Autonomous Digital Twin Software,2016,B2B,51-200,B,$36.5M,", , , , , , , , , , , , , , , , , , telecommunication, mobile-networks, industry-4.0"
viisights,viisights Video Intelligence Platform for Security and Surveillance,2014,"B2B, B2G",11-50,A,$21.2M,", , , , , , , , , , , , , , , , , , safety, smart-mobility, optronics"
Wix,Wix PUBLIC Cloud-based Web Development and Design Platform,2006,"B2B, B2C",500+,Public,$685.5M,", , , , , , , , seo, website-owners"
Wizermed,Wizermed Wise Solutions for Migraine Management,2023,"B2B2C, B2C",1-10,Seed,$3M,", , , , , , , , , , , , , , , , mhealth, women-health"
Xpand,Xpand Unmanned Stores for 24/7 Omnichannel Retail,2021,B2B,11-50,A,$26M,", , , , , , , , , , , , direct-to-consumer, retail-technology"
Xsight Systems,Xsight Systems Data-based Runway Safety Solutions,2005,"B2B, B2G",11-50,Mature,Undisclosed,", , , , , , , , , computer-vision, surveillance, electronics"
YOPI Technologies R&D,YOPI Technologies R&D Sweat Analysis System for Real-time Health Monitoring,2017,"B2B2C, B2C",11-50,Seed,$2.12M,", , , , , , , , , , , , , , , digital-therapeutics, consumers, real-time"
Youtiligent,Youtiligent AIoT Solution for the Professional Equipment Market,2018,B2B,11-50,Pre-Seed,$2.1M,", , , , , , , , , , , , , , , , , healthcare, food-and-beverage, clinics"
Zoomd,Zoomd PUBLIC Performance Marketing Solutions,2012,B2B,51-200,Public,$7M,", , , , , , , , , , , , , , , , , , , , , , , , user-acquisition, big-data-analytics"
1touch.io,1touch.io Data Aware Security,2017,B2B,51-200,B,$28M,", , , , , , , , , , data-governance, machine-learning"
24me,24me Next-generation Personal Assistant,2012,B2C,1-10,Mature,Undisclosed,", , , , , mobile-applications, task-management"
2bPrecise,2bPrecise ACQUIRED Precision Medicine Solution,2015,B2B,11-50,Acquired,Undisclosed,", , , , , , , , , , , , , , , , , digital-healthcare, decision-support"
40Seas,40Seas Digital Trade Finance Platform,2022,B2B,11-50,Seed,$17M,", , supply-chain, artificial-intelligence"
4Cast,4Cast ACQUIRED Decision Intelligence Powered by AI,2018,"B2B, B2G",11-50,Acquired,Undisclosed,", , , , , , , , , , , , , , , , training, decision-making"
4Girls,4Girls Platform for Detecting Mental Distress,2000,"B2B, B2C",1-10,Pre-Funding,Undisclosed,", , , , , , , digital-healthcare, artificial-intelligence"
4M Analytics,4M Analytics Subsurface Utility Mapping Solutions,2019,"B2B, B2G",51-200,A,$48M,", , , , , , , , , , , , , , , smart-city, climate-tech"
634 AI,634 AI Industrial Mobility Technology,2019,B2B,1-10,Seed,Undisclosed,", , , , , , , , edge-computing, artificial-intelligence"
6Degrees,6Degrees 6Degrees – Transforming Rehabilitation with Motion-Based AI,2017,"B2B, B2B2C",1-10,Pre-Seed,$2.43M,", , , , , , , , , , , , , , , , , , lifestyle, physiotherapy"
6over6,6over6 ACQUIRED Smartphone-based Optometric Tools,2014,"B2B2C, B2C",11-50,Acquired,$15M,", , , , , , , , , , , , optronics, medical-technologies"
7Twenty,7Twenty Cross-channel CRM Platform,2007,"B2B, B2B2C",1-10,Mature,Undisclosed,", , , artificial-intelligence, contact-centers"
8fig,"8fig Custom, Flexible Growth Plan Platform for eCommerce Retailers",2020,B2B,51-200,B,$96.5M,", , , , artificial-intelligence, enterprises, bpm"
AccuLine,AccuLine Preventing the next Heart Attack,2022,B2B,1-10,Seed,$6.25M,", , , , , , , , , , , healthcare, signal-processing, cardiology"
AceTech,AceTech Precision Medicine Solutions and Prescription Products,2018,B2C,1-10,Pre-Funding,Undisclosed,", , , , , , , , , personalization, digital-healthcare"
Acsense,Acsense Enterprise IAM Resilience Platform,2021,B2B,11-50,Seed,$5M,", , , , , , disaster-recovery, artificial-intelligence, it-security"
Actics Medical,Actics Medical Digitizing the Future of Foot Therapy,2020,"B2B, B2B2C",1-10,Pre-Funding,$800K,", , , , , , , , , , , , , , , patients, artificial-intelligence"
ActiveFence,ActiveFence AI-powered Technology for Detecting Malicious Content Online,2018,"B2B, B2G",201-500,B,$100M,", , , , , , , , , , , , , threat-detection, cyber-security"
Acumen.io,Acumen.io ACQUIRED Engineering Intelligence Solution for Software Engineering Teams,2019,B2B,1-10,Acquired,$7M,", , , , , , , , , , , , big-data, machine-learning, developers"
ADASKY,ADASKY Thermal Sensing Solutions for Safe Mobility,2015,B2B,51-200,B,$85M,", , , , , , , , , , , , , , healthcare-providers, autonomous-vehicles, optronics"
Addionics,Addionics High-performance Rechargeable Batteries,2017,B2B,51-200,B,$73M,", , , , , , , automotive, smart-mobility, energytech"
Adscale,Adscale Cloud-based Advertising Platform,2016,B2B,11-50,Pre-Funding,Undisclosed,", , , , , , artificial-intelligence, enterprise-solutions"
AEYE Health,AEYE Health AI-based Diagnosis of Retinal Screenings,2018,B2B,11-50,Seed,$10M,", , , , , , , , , , , , , , , , , computer-vision, alzheimers-disease, home-care"
Affective Markets,Affective Markets Data-driven Emotional Analysis,2016,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , campaign-optimization, consumers, branding"
Agado Live,"Agado Live AGADO develops an exceptional AI and CV solution that empower the physiotherapists allowing them to conduct sessions with multiple patients simultaneously, providing individualized attention, AI-based",2021,B2B,11-50,Pre-Funding,Undisclosed,", , , , , , , , , , , , , , , web-platform, machine-learning"
Agamon,Agamon Healthcare Data Platform,2018,B2B,11-50,Seed,$4.47M,", , , , , , , , , , , radiology, clinical-workflow"
Agent Factory,Agent Factory Fully Automated Warehouse and Logistics Solution,2018,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , natural-language-processing, deep-learning"
Agmatix,Agmatix AI-powered Agronomic Data Fusion,2019,B2B,51-200,Pre-Funding,Undisclosed,", , , agtech, smart-farming"
Agrematch,Agrematch Gen AI Discovery and Development of Sustainable Bioactive Compounds,2017,B2B,11-50,A,$8.4M,", , , , , , plant-protection, agtech, crops"
Agri-Light Energy Systems,Agri-Light Energy Systems Agri-voltaic System to Optimize Solar Radiation,2020,B2B,11-50,Pre-Seed,$819K,", , , , , , , , , , , , , smart-farming, solar-energy"
AgrIOT,AgrIOT Precision Agriculture,2017,B2B,1-10,Seed,$3M,", , , , , , , , , , , , , image-processing, recommendations, fertilizers"
AgroScout,AgroScout AI-based Crop Intelligence Solutions for Agriculture,2017,B2B,11-50,A,$11.34M,", , , , , , , , , , , , , , , , , , , , sensors, deep-learning"
AGROSTAF-MOAV,AGROSTAF-MOAV Upgrading Manually Operated Tractors,2024,,1-10,Pre-Funding,Undisclosed,"smart-farming, artificial-intelligence, agtech"
Agwa,Agwa Autonomous AI-driven Home Vegetable Grower,2020,B2B,11-50,A,Undisclosed,", , , , , automation, hydroponics, gardening"
AI21 Labs,AI21 Labs AI-based Writing Solution,2017,"B2B, B2C",201-500,C,$326.5M,", , , natural-language-processing, deep-learning"
AiDock,AiDock AI Solutions for Streamlining Customs Documentation,2018,B2B,11-50,A,$3.5M,", , , , , , , , , supply-chain, smart-mobility, big-data"
AiGENT-TECH,AiGENT-TECH Multi-agent Reasoning and Planning Solutions,2017,"B2B, B2G",11-50,Seed,Undisclosed,"artificial-intelligence, deep-learning"
AiLert,AiLert Real-time Weapon Detection for Security Cameras,2019,"B2B, B2G",1-10,Seed,$120K,", , , , , , , , , , homeland-security, enterprise-solutions"
Aimos A.R.,Aimos A.R. Monitoring Total Physical Status of Machine Health,2017,B2B,1-10,Pre-Funding,Undisclosed,", , predictive-maintenance, artificial-intelligence"
AIO,"AIO Digital Document Collection, Analysis, and Verification",2019,"B2B, B2B2C",11-50,Seed,$4.5M,", , , , , , , , , , , , , , , , , , , , , , financial-institutions, enterprises, mortgage"
AIQHome,AIQHome AI Lead-generation Platform for Home Service Market,2018,"B2B, B2B2C",1-10,Pre-Funding,Undisclosed,", , , , , , , web-platform, enterprise-solutions"
Airis Labs,Airis Labs Transforming raw footage into actionable insights with AI,2023,B2G,11-50,A,Undisclosed,", , , , artificial-intelligence, video-image-processing"
AIRLIFT One,AIRLIFT One Electric VTOL Air Taxi for Transporting People and Goods,2019,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , aviation, shared-mobility"
Airosphera,Airosphera Personalized Air-purifying Solutions,2022,B2B,1-10,Seed,$9M,", , artificial-intelligence, operations-optimization, industry-4.0"
Airtouch Solar,Airtouch Solar PUBLIC Autonomous Robotic Solar Panel Cleaning,2016,B2B,51-200,Public,$25M,", , , , , , , , , artificial-intelligence, panel-performance"
AISAP,AISAP Point-of-Care Assisted Diagnosis,2022,B2B,11-50,Seed,$13M,", , , , , , , , , heart-diseases, medical-devices"
AIVF,AIVF AI-assisted Technology for IVF Treatments,2018,B2B,11-50,A,$25M,", , , , , , , , , , , , , , , , , deep-neural-networks, computer-vision"
Akita,Akita ACQUIRED Smart Home Security as a Service,2016,"B2B, B2B2C, B2C",1-10,Acquired,$1M,", , , , , , , , , , , iot, isp, smart-home"
Akooda,Akooda Ops Intelligence Platform,2020,B2B,11-50,Seed,$11M,", , saas, communications"
AKSATA,AKSATA IoT Based Solutions for Dispensing Precise and Advanced Agriculture Materials,2020,"B2B, B2B2C, B2G",11-50,Seed,$2.44M,", , , , , , , drones, saas, agriculture, iot"
Albe,Albe AI-based Credit Application Assessment,2019,B2B2C,1-10,Seed,Undisclosed,", , , , , , , lending-and-financing, data-gathering"
Albo Climate,Albo Climate Environmental Intelligence Platform,2019,"B2B, B2B2C, B2G",1-10,Seed,$0,", , , , , , , , saas, predictive-analytics"
Algoretail,Algoretail Plug-and-Play Retailer Platform,2018,B2B,11-50,Seed,$5M,", , , , , , , , , , , , , , , retail, supermarkets, freight"
AlgoSensus,AlgoSensus AI-based Balance Analysis Platform,2021,"B2B, B2B2C, B2C",1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , , , , , , , , healthcare-providers, remote-monitoring"
Alison.ai,Alison.ai AI-powered Video Analysis Technology,2021,B2B,51-200,Seed,$18.4M,", , business-intelligence, artificial-intelligence"
ALMA Technologies,ALMA Technologies Localization Technology Based on Inertial Sensors,2021,"B2B, B2C",1-10,Pre-Seed,$2.31M,", , , , , , , , , mapping, machine-learning"
